epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,5992.16,0.46479,0.25596,0.77774,0.99807,0.98857,0.99376,0.92258,0.32669,0.19996,0.78875,0.005446,0.005446,0.005446
25,6246.33,0.46033,0.25376,0.77707,0.99791,0.98867,0.99378,0.92318,0.32387,0.19754,0.78834,0.005248,0.005248,0.005248
26,6499.21,0.45588,0.25114,0.77631,0.99831,0.98838,0.99359,0.92365,0.32212,0.19537,0.78812,0.00505,0.00505,0.00505
27,6752.64,0.45068,0.24837,0.77583,0.99822,0.98858,0.99364,0.92409,0.3206,0.19416,0.78771,0.004852,0.004852,0.004852
28,7003.67,0.44579,0.24546,0.77546,0.99827,0.98845,0.99363,0.9253,0.31767,0.19217,0.78747,0.004654,0.004654,0.004654
29,7255.29,0.44001,0.2427,0.77572,0.99837,0.98844,0.9936,0.9256,0.31685,0.1909,0.78721,0.004456,0.004456,0.004456
30,7507.56,0.43665,0.24064,0.77485,0.99849,0.98817,0.9935,0.9263,0.31502,0.18938,0.78695,0.004258,0.004258,0.004258
31,7769.68,0.43206,0.23845,0.7747,0.99866,0.98768,0.99348,0.92686,0.3136,0.18816,0.78666,0.00406,0.00406,0.00406
32,8031.86,0.42696,0.23529,0.77428,0.99867,0.98762,0.9935,0.92744,0.31286,0.18712,0.78646,0.003862,0.003862,0.003862
33,8275.46,0.42495,0.23398,0.77363,0.99867,0.98797,0.99349,0.92779,0.3117,0.18595,0.78628,0.003664,0.003664,0.003664
34,8519.79,0.42087,0.23183,0.77368,0.99872,0.98799,0.99349,0.9284,0.31025,0.18464,0.78609,0.003466,0.003466,0.003466
35,8780.91,0.41688,0.22955,0.7734,0.9988,0.98797,0.99345,0.92847,0.30994,0.18387,0.78589,0.003268,0.003268,0.003268
36,9044.82,0.41382,0.22764,0.77238,0.99875,0.98778,0.99348,0.92882,0.30892,0.18301,0.78574,0.00307,0.00307,0.00307
37,9263.2,0.40923,0.22495,0.77234,0.99867,0.98789,0.99346,0.92936,0.30758,0.18203,0.78556,0.002872,0.002872,0.002872
38,9480.88,0.40633,0.22335,0.77231,0.99868,0.98775,0.9934,0.92977,0.30628,0.18101,0.78538,0.002674,0.002674,0.002674
